geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	218	33	8.908930773295756	3.7041482125909515	5.925482327029385e-11	5.0366599779749777e-8	301;1475;1823;1825;1828;1830;1956;2296;3204;3852;3854;3861;3866;3868;3872;4233;5317;6939;7538;8626;8644;9333;10913;25818;25928;26085;27121;55612;56603;57561;60529;147495;168002	ENSG00000003137;ENSG00000052850;ENSG00000054598;ENSG00000073282;ENSG00000081277;ENSG00000101311;ENSG00000104055;ENSG00000104371;ENSG00000105976;ENSG00000113369;ENSG00000121552;ENSG00000122592;ENSG00000125878;ENSG00000128016;ENSG00000128422;ENSG00000134757;ENSG00000134760;ENSG00000134762;ENSG00000134765;ENSG00000135046;ENSG00000135960;ENSG00000146648;ENSG00000154856;ENSG00000164488;ENSG00000167754;ENSG00000167759;ENSG00000171243;ENSG00000171346;ENSG00000185479;ENSG00000186081;ENSG00000186832;ENSG00000186847;ENSG00000196139
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	http://amigo.geneontology.org/amigo/term/GO:0007187	133	24	5.435265104808878	4.415607985480944	6.929485873996555e-10	2.260123310726669e-7	133;151;154;301;554;1128;1268;1813;1906;2774;5138;5734;5737;5745;6751;9590;11251;23284;57561;112609;165140;222487;266977;104909134	ENSG00000078401;ENSG00000113369;ENSG00000118432;ENSG00000120088;ENSG00000122420;ENSG00000126895;ENSG00000131016;ENSG00000135046;ENSG00000135324;ENSG00000139874;ENSG00000141404;ENSG00000148926;ENSG00000149295;ENSG00000150471;ENSG00000153292;ENSG00000160801;ENSG00000162881;ENSG00000168539;ENSG00000169252;ENSG00000171522;ENSG00000182885;ENSG00000183134;ENSG00000186642;ENSG00000274286
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	253	34	10.339263695613882	3.2884353277906495	7.976905802564715e-10	2.260123310726669e-7	301;1308;1475;1823;1825;1828;1830;1956;2296;3204;3852;3854;3861;3866;3868;3872;3914;4909;5317;5650;7538;8626;8644;9314;9333;10913;25818;25928;26085;27121;55612;56603;60529;147495	ENSG00000003137;ENSG00000052850;ENSG00000054598;ENSG00000065618;ENSG00000073282;ENSG00000081277;ENSG00000101311;ENSG00000104055;ENSG00000104371;ENSG00000121552;ENSG00000122592;ENSG00000128016;ENSG00000128422;ENSG00000134757;ENSG00000134760;ENSG00000134762;ENSG00000134765;ENSG00000135046;ENSG00000135960;ENSG00000136826;ENSG00000146648;ENSG00000154856;ENSG00000167754;ENSG00000167759;ENSG00000169035;ENSG00000171243;ENSG00000171346;ENSG00000185479;ENSG00000186081;ENSG00000186832;ENSG00000186847;ENSG00000196139;ENSG00000196878;ENSG00000225950
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	206	30	8.418530914215255	3.5635671242048876	1.1773785280055904e-9	2.3469676646570292e-7	1128;1268;1813;1956;1959;2353;2904;3815;4908;4909;4915;5021;5621;5649;5803;7122;7436;8326;9378;10752;11170;11202;23237;55084;57030;57144;84152;139411;266743;266977	ENSG00000101349;ENSG00000104888;ENSG00000106278;ENSG00000112320;ENSG00000118432;ENSG00000122877;ENSG00000129455;ENSG00000131771;ENSG00000134121;ENSG00000146648;ENSG00000147852;ENSG00000148053;ENSG00000149295;ENSG00000153292;ENSG00000157404;ENSG00000165186;ENSG00000168309;ENSG00000168539;ENSG00000170345;ENSG00000171867;ENSG00000174576;ENSG00000179915;ENSG00000180914;ENSG00000184113;ENSG00000185652;ENSG00000188763;ENSG00000189056;ENSG00000198576;ENSG00000225950;ENSG00000273079
GO:0034765	regulation of ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034765	312	38	12.750396336093008	2.980299513704686	1.3805692145041348e-9	2.3469676646570292e-7	154;306;486;857;1188;1756;1804;1813;1908;3745;3753;3759;3779;3787;5348;5621;5649;6326;6327;6328;6330;6331;6376;6769;9001;9104;9132;22871;23237;23416;54997;55800;130497;131096;140738;342667;102723475;104909134	ENSG00000006210;ENSG00000088992;ENSG00000105974;ENSG00000117013;ENSG00000120088;ENSG00000123700;ENSG00000124134;ENSG00000124205;ENSG00000130226;ENSG00000130988;ENSG00000135519;ENSG00000136531;ENSG00000137731;ENSG00000138772;ENSG00000141750;ENSG00000143867;ENSG00000144681;ENSG00000145936;ENSG00000149295;ENSG00000149575;ENSG00000153253;ENSG00000158445;ENSG00000166257;ENSG00000169252;ENSG00000169760;ENSG00000171227;ENSG00000171867;ENSG00000173805;ENSG00000177098;ENSG00000180509;ENSG00000180509;ENSG00000183873;ENSG00000183960;ENSG00000184908;ENSG00000189056;ENSG00000198576;ENSG00000198947;ENSG00000266964
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	287	36	11.728729963008632	3.069386038687973	1.707338492806798e-9	2.418729531476297e-7	154;857;948;1128;1268;1756;1813;1906;2564;2568;2904;3745;3753;3759;4915;5348;5649;6326;6327;6328;6330;6331;8326;9378;9481;22871;23416;55022;55800;57030;131096;149461;266743;340273;441509;102723475	ENSG00000004846;ENSG00000078401;ENSG00000094755;ENSG00000102287;ENSG00000104888;ENSG00000105974;ENSG00000118432;ENSG00000123700;ENSG00000135218;ENSG00000135519;ENSG00000136531;ENSG00000148053;ENSG00000149295;ENSG00000149575;ENSG00000153253;ENSG00000153291;ENSG00000153823;ENSG00000158445;ENSG00000164007;ENSG00000166257;ENSG00000168539;ENSG00000169252;ENSG00000169760;ENSG00000174576;ENSG00000177098;ENSG00000179915;ENSG00000180509;ENSG00000180509;ENSG00000183873;ENSG00000183960;ENSG00000188763;ENSG00000188828;ENSG00000189056;ENSG00000198947;ENSG00000266964;ENSG00000273079
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	297	35	12.137396512242383	2.883649715546267	1.4984073537505083e-8	1.8194946438399029e-6	650;653;654;857;858;1028;1910;1956;1960;2152;2246;2247;2277;2719;3202;3815;4781;4804;5268;5629;6331;6422;7049;7538;8200;8626;8854;9104;9982;11202;51378;55612;84913;130497;168667	ENSG00000064300;ENSG00000069702;ENSG00000073282;ENSG00000101280;ENSG00000101311;ENSG00000104332;ENSG00000105971;ENSG00000105974;ENSG00000106004;ENSG00000112175;ENSG00000113578;ENSG00000117525;ENSG00000117707;ENSG00000125845;ENSG00000125965;ENSG00000128016;ENSG00000128918;ENSG00000129455;ENSG00000129757;ENSG00000130988;ENSG00000136160;ENSG00000137440;ENSG00000138685;ENSG00000143867;ENSG00000146648;ENSG00000147257;ENSG00000147862;ENSG00000153162;ENSG00000157404;ENSG00000164619;ENSG00000165197;ENSG00000168874;ENSG00000179388;ENSG00000183873;ENSG00000206075
GO:0019932	second-messenger-mediated signaling	http://amigo.geneontology.org/amigo/term/GO:0019932	290	34	11.851329927778757	2.8688763376932225	2.7590390527798547e-8	2.9314789935785956e-6	117;133;151;154;358;948;1672;1756;1813;1827;1906;1908;1910;1956;2774;2904;3084;4881;5138;5621;5734;5737;5745;6403;9001;9104;11251;23284;57561;83988;112609;222487;266977;104909134	ENSG00000078401;ENSG00000078549;ENSG00000104490;ENSG00000113369;ENSG00000120088;ENSG00000122420;ENSG00000124205;ENSG00000130988;ENSG00000135218;ENSG00000135324;ENSG00000136160;ENSG00000141404;ENSG00000146648;ENSG00000148926;ENSG00000149295;ENSG00000150471;ENSG00000153292;ENSG00000157168;ENSG00000159200;ENSG00000160801;ENSG00000164825;ENSG00000169252;ENSG00000169418;ENSG00000171522;ENSG00000171867;ENSG00000173805;ENSG00000174175;ENSG00000182885;ENSG00000183134;ENSG00000186642;ENSG00000198947;ENSG00000240583;ENSG00000273079;ENSG00000274286
GO:0072507	divalent inorganic cation homeostasis	http://amigo.geneontology.org/amigo/term/GO:0072507	337	37	13.772062709177384	2.686598280978205	3.820801686149622e-8	3.608534925807976e-6	117;133;857;948;1268;1756;1813;1906;1908;1910;1956;2247;2835;2840;2904;3200;3777;4499;4501;4828;5021;5621;5734;5737;5745;6263;6358;6366;6376;6869;8326;9001;9104;9365;9481;56477;79608	ENSG00000006210;ENSG00000078401;ENSG00000078549;ENSG00000105974;ENSG00000105997;ENSG00000115353;ENSG00000118432;ENSG00000122420;ENSG00000124205;ENSG00000130988;ENSG00000132975;ENSG00000133116;ENSG00000135218;ENSG00000136160;ENSG00000137077;ENSG00000138685;ENSG00000144230;ENSG00000146648;ENSG00000148926;ENSG00000149295;ENSG00000151882;ENSG00000153291;ENSG00000160801;ENSG00000166405;ENSG00000171303;ENSG00000171522;ENSG00000171867;ENSG00000173805;ENSG00000180914;ENSG00000187193;ENSG00000188763;ENSG00000197696;ENSG00000198838;ENSG00000198947;ENSG00000205364;ENSG00000273079;ENSG00000276409
GO:0007389	pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	317	35	12.954729610709883	2.701715979549657	7.860852169194743e-8	6.681724343815532e-6	650;653;1906;1959;2246;2296;2348;2719;3199;3200;3201;3202;3203;3204;3205;4222;4223;4281;4909;5649;6422;6939;7048;7475;7704;8626;8854;23237;25928;55897;56603;60529;79192;130497;286204	ENSG00000003137;ENSG00000005102;ENSG00000052850;ENSG00000054598;ENSG00000073282;ENSG00000078399;ENSG00000078401;ENSG00000101871;ENSG00000104332;ENSG00000105996;ENSG00000105997;ENSG00000106004;ENSG00000106006;ENSG00000106511;ENSG00000109906;ENSG00000110195;ENSG00000112175;ENSG00000113578;ENSG00000115596;ENSG00000122592;ENSG00000122877;ENSG00000125845;ENSG00000125878;ENSG00000128918;ENSG00000143867;ENSG00000147257;ENSG00000148204;ENSG00000163513;ENSG00000166823;ENSG00000170549;ENSG00000171243;ENSG00000189056;ENSG00000197576;ENSG00000198576;ENSG00000225950
