userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000135250	SRPK2	SRSF protein kinase 2	6733	https://www.ncbi.nlm.nih.gov/gene/?term=6733
ENSG00000204385	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000232180	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000235336	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000231479	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000206378	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000228263	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000229077	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000203463	SLC44A4	solute carrier family 44 member 4	80736	https://www.ncbi.nlm.nih.gov/gene/?term=80736
ENSG00000175895	PLEKHF2	pleckstrin homology and FYVE domain containing 2	79666	https://www.ncbi.nlm.nih.gov/gene/?term=79666
ENSG00000038427	VCAN	versican	1462	https://www.ncbi.nlm.nih.gov/gene/?term=1462
ENSG00000104413	ESRP1	epithelial splicing regulatory protein 1	54845	https://www.ncbi.nlm.nih.gov/gene/?term=54845
ENSG00000197045	GMFB	glia maturation factor beta	2764	https://www.ncbi.nlm.nih.gov/gene/?term=2764
ENSG00000123500	COL10A1	collagen type X alpha 1 chain	1300	https://www.ncbi.nlm.nih.gov/gene/?term=1300
ENSG00000111799	COL12A1	collagen type XII alpha 1 chain	1303	https://www.ncbi.nlm.nih.gov/gene/?term=1303
ENSG00000092820	EZR	ezrin	7430	https://www.ncbi.nlm.nih.gov/gene/?term=7430
ENSG00000137573	SULF1	sulfatase 1	23213	https://www.ncbi.nlm.nih.gov/gene/?term=23213
ENSG00000114573	ATP6V1A	ATPase H+ transporting V1 subunit A	523	https://www.ncbi.nlm.nih.gov/gene/?term=523
ENSG00000074696	HACD3	3-hydroxyacyl-CoA dehydratase 3	51495	https://www.ncbi.nlm.nih.gov/gene/?term=51495
ENSG00000113810	SMC4	structural maintenance of chromosomes 4	10051	https://www.ncbi.nlm.nih.gov/gene/?term=10051
ENSG00000131724	IL13RA1	interleukin 13 receptor subunit alpha 1	3597	https://www.ncbi.nlm.nih.gov/gene/?term=3597
ENSG00000076554	TPD52	tumor protein D52	7163	https://www.ncbi.nlm.nih.gov/gene/?term=7163
ENSG00000182831	C16orf72	chromosome 16 open reading frame 72	29035	https://www.ncbi.nlm.nih.gov/gene/?term=29035
ENSG00000129514	FOXA1	forkhead box A1	3169	https://www.ncbi.nlm.nih.gov/gene/?term=3169
ENSG00000113712	CSNK1A1	casein kinase 1 alpha 1	1452	https://www.ncbi.nlm.nih.gov/gene/?term=1452
ENSG00000100196	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3	11015	https://www.ncbi.nlm.nih.gov/gene/?term=11015
ENSG00000074410	CA12	carbonic anhydrase 12	771	https://www.ncbi.nlm.nih.gov/gene/?term=771
ENSG00000177889	UBE2N	ubiquitin conjugating enzyme E2 N	7334	https://www.ncbi.nlm.nih.gov/gene/?term=7334
ENSG00000115414	FN1	fibronectin 1	2335	https://www.ncbi.nlm.nih.gov/gene/?term=2335
ENSG00000211460	TSN	translin	7247	https://www.ncbi.nlm.nih.gov/gene/?term=7247
ENSG00000152700	SAR1B	secretion associated Ras related GTPase 1B	51128	https://www.ncbi.nlm.nih.gov/gene/?term=51128
ENSG00000130202	NECTIN2	nectin cell adhesion molecule 2	5819	https://www.ncbi.nlm.nih.gov/gene/?term=5819
ENSG00000166197	NOLC1	nucleolar and coiled-body phosphoprotein 1	9221	https://www.ncbi.nlm.nih.gov/gene/?term=9221
ENSG00000175348	TMEM9B	TMEM9 domain family member B	56674	https://www.ncbi.nlm.nih.gov/gene/?term=56674
ENSG00000168385	SEPT2	septin 2	4735	https://www.ncbi.nlm.nih.gov/gene/?term=4735
ENSG00000134986	NREP	neuronal regeneration related protein	9315	https://www.ncbi.nlm.nih.gov/gene/?term=9315
ENSG00000144224	UBXN4	UBX domain protein 4	23190	https://www.ncbi.nlm.nih.gov/gene/?term=23190
ENSG00000048828	FAM120A	family with sequence similarity 120A	23196	https://www.ncbi.nlm.nih.gov/gene/?term=23196
ENSG00000179021	C3orf38	chromosome 3 open reading frame 38	285237	https://www.ncbi.nlm.nih.gov/gene/?term=285237
